sentence;Intent;Cause;Effect;Causal association;tokenized;bio_tags
Lol I have to do blood work for gestational diabetes since the first one came back high and my sister told me not to eat carbs today to try and have it lower I guess .;;gestational diabetes;blood work;1;['Lol', 'I', 'have', 'to', 'do', 'blood', 'work', 'for', 'gestational', 'diabetes', 'since', 'the', 'first', 'one', 'came', 'back', 'high', 'and', 'my', 'sister', 'told', 'me', 'not', 'to', 'eat', 'carbs', 'today', 'to', 'try', 'and', 'have', 'it', 'lower', 'I', 'guess', '.'];['O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I am diabetic , and have fibromyalgia .;;diabetic;fibromyalgia;1;['I', 'am', 'diabetic', ',', 'and', 'have', 'fibromyalgia', '.'];['O', 'O', 'I-C', 'O', 'O', 'O', 'I-E', 'O']
USER As a type 1 diabetic this does fill me with fear .;;type 1 diabetic;fear;1;['USER', 'As', 'a', 'type', '1', 'diabetic', 'this', 'does', 'fill', 'me', 'with', 'fear', '.'];['O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O']
Diabetes , dammit .;;Diabetes;;0;['Diabetes', ',', 'dammit', '.'];['I-C', 'O', 'O', 'O']
I hurt myself a lot more , and I need the pressure on my footsies .;;;pressure on my footsies;0;['I', 'hurt', 'myself', 'a', 'lot', 'more', ',', 'and', 'I', 'need', 'the', 'pressure', 'on', 'my', 'footsies', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
USER I 'm ok Al diagnosed with Type 1 diabetes a year ago so it 's on going .;;Type 1 diabetes;;0;"['USER', 'I', ""'m"", 'ok', 'Al', 'diagnosed', 'with', 'Type', '1', 'diabetes', 'a', 'year', 'ago', 'so', 'it', ""'s"", 'on', 'going', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Causing problems with heart , feet and eyes .;;;problems with heart , feet and eyes;0;['Causing', 'problems', 'with', 'heart', ',', 'feet', 'and', 'eyes', '.'];['O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
But she was obese and had type 2 diabetes and hypertension .;;type 2 diabetes;;0;['But', 'she', 'was', 'obese', 'and', 'had', 'type', '2', 'diabetes', 'and', 'hypertension', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O']
Only thing unusual about it from other flus for most ppl was the substantial fatigue ( tiredness ) and the loss of all smell and taste for 3 4 days .;mE;;"fatigue;tiredness;loss of all smell";0;['Only', 'thing', 'unusual', 'about', 'it', 'from', 'other', 'flus', 'for', 'most', 'ppl', 'was', 'the', 'substantial', 'fatigue', '(', 'tiredness', ')', 'and', 'the', 'loss', 'of', 'all', 'smell', 'and', 'taste', 'for', '3', '4', 'days', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'I-E', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I 'm very new to the #gbdoc and it 's such a relief to find out other people have the same experiences I do , both good and bad;;#gbdoc;relief;1;"['I', ""'m"", 'very', 'new', 'to', 'the', '#gbdoc', 'and', 'it', ""'s"", 'such', 'a', 'relief', 'to', 'find', 'out', 'other', 'people', 'have', 'the', 'same', 'experiences', 'I', 'do', ',', 'both', 'good', 'and', 'bad']";['O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I swear my mom is why I 'm a slight hypochondriac , told her I 've been really thirsty all day n she suggests I may have diabetes;;diabetes;thirsty;1.0;"['I', 'swear', 'my', 'mom', 'is', 'why', 'I', ""'m"", 'a', 'slight', 'hypochondriac', ',', 'told', 'her', 'I', ""'ve"", 'been', 'really', 'thirsty', 'all', 'day', 'n', 'she', 'suggests', 'I', 'may', 'have', 'diabetes']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C']
USER I 'd say I miss being able to eat whatever while pregnant but I had gestational diabetes :upside-down_face:;;pregnant;gestational diabetes;1.0;"['USER', 'I', ""'d"", 'say', 'I', 'miss', 'being', 'able', 'to', 'eat', 'whatever', 'while', 'pregnant', 'but', 'I', 'had', 'gestational', 'diabetes', ':upside-down_face:']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'I-E', 'I-E', 'O']
Tuesday party to help raise funds for my moms insulin Shes is struggling and her insulin is about to jump from 45 to 300 So follow all Who retweets this And if your able please help my mom in the process Any question just comment below HTTPURL;mC;"struggling;insulin is about to jump";help raise funds;1.0;['Tuesday', 'party', 'to', 'help', 'raise', 'funds', 'for', 'my', 'moms', 'insulin', 'Shes', 'is', 'struggling', 'and', 'her', 'insulin', 'is', 'about', 'to', 'jump', 'from', '45', 'to', '300', 'So', 'follow', 'all', 'Who', 'retweets', 'this', 'And', 'if', 'your', 'able', 'please', 'help', 'my', 'mom', 'in', 'the', 'process', 'Any', 'question', 'just', 'comment', 'below', 'HTTPURL'];['O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Half century ago a thin uncle died of adult onset diabetes like many since have .;;;died;0;['Half', 'century', 'ago', 'a', 'thin', 'uncle', 'died', 'of', 'adult', 'onset', 'diabetes', 'like', 'many', 'since', 'have', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O']
Been diet controlling my insulin resistance like this for years in the face of ridicule , ignorance , disbelief and miseducation .;;insulin resistance;diet controlling;1;['Been', 'diet', 'controlling', 'my', 'insulin', 'resistance', 'like', 'this', 'for', 'years', 'in', 'the', 'face', 'of', 'ridicule', ',', 'ignorance', ',', 'disbelief', 'and', 'miseducation', '.'];['O', 'I-E', 'I-E', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER For me , it 's when I 'm really sick of diabetes but can't make myself care , and if I stop & think I feel some anxiety but still do n't do anything .;;diabetes;sick;1;"['USER', 'For', 'me', ',', 'it', ""'s"", 'when', 'I', ""'m"", 'really', 'sick', 'of', 'diabetes', 'but', ""can't"", 'make', 'myself', 'care', ',', 'and', 'if', 'I', 'stop', '&', 'think', 'I', 'feel', 'some', 'anxiety', 'but', 'still', 'do', ""n't"", 'do', 'anything', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
It 's things like feeling hypo & so having a biscuit or six without testing or caring .;;hypo;biscuit;1;"['It', ""'s"", 'things', 'like', 'feeling', 'hypo', '&', 'so', 'having', 'a', 'biscuit', 'or', 'six', 'without', 'testing', 'or', 'caring', '.']";['O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Feeling ill and not bothering with sick day rules;;;sick;0;['Feeling', 'ill', 'and', 'not', 'bothering', 'with', 'sick', 'day', 'rules'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER HELLO people I have been diabetic since I was a child and I learned to live with him so I decided to help different people like me and I want to tell them there is always hope When I looked for normal people I have found that HTTPURL;;diabetic;help;1.0;['USER', 'HELLO', 'people', 'I', 'have', 'been', 'diabetic', 'since', 'I', 'was', 'a', 'child', 'and', 'I', 'learned', 'to', 'live', 'with', 'him', 'so', 'I', 'decided', 'to', 'help', 'different', 'people', 'like', 'me', 'and', 'I', 'want', 'to', 'tell', 'them', 'there', 'is', 'always', 'hope', 'When', 'I', 'looked', 'for', 'normal', 'people', 'I', 'have', 'found', 'that', 'HTTPURL'];['O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I got diabetes and gained ten pounds and traded in my yoga pants just from the photo .;;diabetes;gained ten pounds;1;['I', 'got', 'diabetes', 'and', 'gained', 'ten', 'pounds', 'and', 'traded', 'in', 'my', 'yoga', 'pants', 'just', 'from', 'the', 'photo', '.'];['O', 'O', 'I-C', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER for my uncle who died of renal failure .. he was given 24 tablets per day plus insulin taking biopsy of kidney even when problem was in small stage would have solved his problem other doctors said Actually its those tablets which killed him sooner .;;renal failure;died;1;['USER', 'for', 'my', 'uncle', 'who', 'died', 'of', 'renal', 'failure', '..', 'he', 'was', 'given', '24', 'tablets', 'per', 'day', 'plus', 'insulin', 'taking', 'biopsy', 'of', 'kidney', 'even', 'when', 'problem', 'was', 'in', 'small', 'stage', 'would', 'have', 'solved', 'his', 'problem', 'other', 'doctors', 'said', 'Actually', 'its', 'those', 'tablets', 'which', 'killed', 'him', 'sooner', '.'];['O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Have n't had blueberries since my diet due to T2 diabetes ( which I 've reversed now happily ) .;;T2 diabetes;diet;1;"['Have', ""n't"", 'had', 'blueberries', 'since', 'my', 'diet', 'due', 'to', 'T2', 'diabetes', '(', 'which', 'I', ""'ve"", 'reversed', 'now', 'happily', ')', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER Insulin makes fat dissappear so it causes debts and I do n't like that;;Insulin;debts;1.0;"['USER', 'Insulin', 'makes', 'fat', 'dissappear', 'so', 'it', 'causes', 'debts', 'and', 'I', 'do', ""n't"", 'like', 'that']";['O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O']
ah yes , the partnership between people dying because they can't afford insulin and people getting rich off needlessly pricey insulin;;can't afford insulin;dying;1.0;"['ah', 'yes', ',', 'the', 'partnership', 'between', 'people', 'dying', 'because', 'they', ""can't"", 'afford', 'insulin', 'and', 'people', 'getting', 'rich', 'off', 'needlessly', 'pricey', 'insulin']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Me : I 'm cutting back sugar bc I 'm scared of it affecting my body and who knows I could have diabetes but it 's probably just my intrusive thoughts as a result of ocd Tumblr ads , the extremely nefarious condensation of capitalism and mass surveillance : you probably have diabetes;;scared of it affecting my body;cutting back sugar;1.0;"['Me', ':', 'I', ""'m"", 'cutting', 'back', 'sugar', 'bc', 'I', ""'m"", 'scared', 'of', 'it', 'affecting', 'my', 'body', 'and', 'who', 'knows', 'I', 'could', 'have', 'diabetes', 'but', 'it', ""'s"", 'probably', 'just', 'my', 'intrusive', 'thoughts', 'as', 'a', 'result', 'of', 'ocd', 'Tumblr', 'ads', ',', 'the', 'extremely', 'nefarious', 'condensation', 'of', 'capitalism', 'and', 'mass', 'surveillance', ':', 'you', 'probably', 'have', 'diabetes']";['O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
How has my mum just tried to tell me I might be diabetic because I said I drink lots of water;;drink lots of water;diabetic;1;['How', 'has', 'my', 'mum', 'just', 'tried', 'to', 'tell', 'me', 'I', 'might', 'be', 'diabetic', 'because', 'I', 'said', 'I', 'drink', 'lots', 'of', 'water'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C']
Sure , it 's a pain to keep up with your sugar but that 's YOUR LIFE , YOUR FUTURE , YOUR HEALTH , EVERYTHING .;;sugar;pain;1;"['Sure', ',', 'it', ""'s"", 'a', 'pain', 'to', 'keep', 'up', 'with', 'your', 'sugar', 'but', 'that', ""'s"", 'YOUR', 'LIFE', ',', 'YOUR', 'FUTURE', ',', 'YOUR', 'HEALTH', ',', 'EVERYTHING', '.']";['O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER USER Took them for a year , drastic weight gain now hovering as pre diabetic .;;weight gain;pre diabetic;1;['USER', 'USER', 'Took', 'them', 'for', 'a', 'year', ',', 'drastic', 'weight', 'gain', 'now', 'hovering', 'as', 'pre', 'diabetic', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'I-E', 'I-E', 'O']
More and more Americans are dying due to these insanely high insulin prices .;;high insulin prices;dying;1.0;['More', 'and', 'more', 'Americans', 'are', 'dying', 'due', 'to', 'these', 'insanely', 'high', 'insulin', 'prices', '.'];['O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O']
I 've been light headed and shakey for the last 4 hours due to low blood sugar and it 's uncomfortable and debilitating !;mE;low blood sugar;"light headed;shakey";1;"['I', ""'ve"", 'been', 'light', 'headed', 'and', 'shakey', 'for', 'the', 'last', '4', 'hours', 'due', 'to', 'low', 'blood', 'sugar', 'and', 'it', ""'s"", 'uncomfortable', 'and', 'debilitating', '!']";['O', 'O', 'O', 'I-E', 'I-E', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER USER I know how that is , 2 of my kids are type 1 diabetics on 2 shots of insulin a day;;type 1 diabetics;shots of insulin;1.0;['USER', 'USER', 'I', 'know', 'how', 'that', 'is', ',', '2', 'of', 'my', 'kids', 'are', 'type', '1', 'diabetics', 'on', '2', 'shots', 'of', 'insulin', 'a', 'day'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O']
For those of you who dont know I am type 2 diabetic and I have struggled for 7 years to get my numbers down from the 300s .;;type 2 diabetic;struggled;1;['For', 'those', 'of', 'you', 'who', 'dont', 'know', 'I', 'am', 'type', '2', 'diabetic', 'and', 'I', 'have', 'struggled', 'for', '7', 'years', 'to', 'get', 'my', 'numbers', 'down', 'from', 'the', '300s', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I lost my brother to Diabetes / Parkinson 's / Pneumonia .;;Diabetes;lost my brother;1;"['I', 'lost', 'my', 'brother', 'to', 'Diabetes', '/', 'Parkinson', ""'s"", '/', 'Pneumonia', '.']";['O', 'I-E', 'I-E', 'I-E', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O']
So upset to hear Paul Hollywood 's comment “ Diabetes on a plate ” on #GBBO My 10yr old son is a Type 1 Diabetic & is insulin dependent for life !;;Type 1 Diabetic;insulin dependent;1;"['So', 'upset', 'to', 'hear', 'Paul', 'Hollywood', ""'s"", 'comment', '“', 'Diabetes', 'on', 'a', 'plate', '”', 'on', '#GBBO', 'My', '10yr', 'old', 'son', 'is', 'a', 'Type', '1', 'Diabetic', '&', 'is', 'insulin', 'dependent', 'for', 'life', '!']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O']
I love giving sawyer his insulin because he 's so visibly happy afterwards and i can tell he feels healthy and I 'm just such a proud mom :grinning_face_with_sweat:;mE;giving sawyer his insulin;"love;happy;feels healthy";1.0;"['I', 'love', 'giving', 'sawyer', 'his', 'insulin', 'because', 'he', ""'s"", 'so', 'visibly', 'happy', 'afterwards', 'and', 'i', 'can', 'tell', 'he', 'feels', 'healthy', 'and', 'I', ""'m"", 'just', 'such', 'a', 'proud', 'mom', ':grinning_face_with_sweat:']";['O', 'I-E', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
It 's 1am & I 'm reading about gestational diabetes .. scaring tf outta myself .;;gestational diabetes;scaring;1;"['It', ""'s"", '1am', '&', 'I', ""'m"", 'reading', 'about', 'gestational', 'diabetes', '..', 'scaring', 'tf', 'outta', 'myself', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'I-E', 'O', 'O', 'O', 'O']
Pre diabetes was starting to hit me I cut out a lot of carbs , a ton of sugar , and after the holidays , back home , I started walking a lot , just about every day .;;;cut out a lot of carbs , a ton of sugar;0;['Pre', 'diabetes', 'was', 'starting', 'to', 'hit', 'me', 'I', 'cut', 'out', 'a', 'lot', 'of', 'carbs', ',', 'a', 'ton', 'of', 'sugar', ',', 'and', 'after', 'the', 'holidays', ',', 'back', 'home', ',', 'I', 'started', 'walking', 'a', 'lot', ',', 'just', 'about', 'every', 'day', '.'];['I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER $ LilyNights I have been struggling to afford my insulin and insurance since I got laid off .;;laid off;struggling to afford my insulin and insurance;1;['USER', '$', 'LilyNights', 'I', 'have', 'been', 'struggling', 'to', 'afford', 'my', 'insulin', 'and', 'insurance', 'since', 'I', 'got', 'laid', 'off', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
USER Food is expensive now for me cause I have no job , edd is taking forever and I 'm type 2 diabetic .;;no job;Food is expensive;1;"['USER', 'Food', 'is', 'expensive', 'now', 'for', 'me', 'cause', 'I', 'have', 'no', 'job', ',', 'edd', 'is', 'taking', 'forever', 'and', 'I', ""'m"", 'type', '2', 'diabetic', '.']";['O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
He is a 60 year old diabetic .;;old diabetic;;0;['He', 'is', 'a', '60', 'year', 'old', 'diabetic', '.'];['O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
The chances of him surviving the virus are slim .;;;chances of him surviving the virus are slim;0;['The', 'chances', 'of', 'him', 'surviving', 'the', 'virus', 'are', 'slim', '.'];['O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
USER People dying of cancer and diabetes so some elites can rub a few more nickels together for shits and giggles is disrespectful , but go off I guess .;;diabetes;dying;1.0;['USER', 'People', 'dying', 'of', 'cancer', 'and', 'diabetes', 'so', 'some', 'elites', 'can', 'rub', 'a', 'few', 'more', 'nickels', 'together', 'for', 'shits', 'and', 'giggles', 'is', 'disrespectful', ',', 'but', 'go', 'off', 'I', 'guess', '.'];['O', 'O', 'I-E', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
~ Having diabetes SUCKS & it sucks BAD !;;diabetes;SUCKS;1;['~', 'Having', 'diabetes', 'SUCKS', '&', 'it', 'sucks', 'BAD', '!'];['O', 'O', 'I-C', 'I-E', 'O', 'O', 'O', 'O', 'O']
I 'm out of town & do n't have my meds feeling like crap :sad_but_relieved_face: :sad_but_relieved_face: Please say a prayer for me gracias .;;;feeling like crap;0;"['I', ""'m"", 'out', 'of', 'town', '&', 'do', ""n't"", 'have', 'my', 'meds', 'feeling', 'like', 'crap', ':sad_but_relieved_face:', ':sad_but_relieved_face:', 'Please', 'say', 'a', 'prayer', 'for', 'me', 'gracias', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER USER USER USER Yeah , the same goes for my diabetes .;;diabetes;;0;['USER', 'USER', 'USER', 'USER', 'Yeah', ',', 'the', 'same', 'goes', 'for', 'my', 'diabetes', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O']
I was severely underweight when I was diagnosed .;;;underweight;0;['I', 'was', 'severely', 'underweight', 'when', 'I', 'was', 'diagnosed', '.'];['O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O']
They think type 1 diabetes could have genetic links but do n't know for sure .;;diabetes;;0;"['They', 'think', 'type', '1', 'diabetes', 'could', 'have', 'genetic', 'links', 'but', 'do', ""n't"", 'know', 'for', 'sure', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
lol like damn if ur not gonna vote for urself vote for ur neighbor who 's a diabetic and is struggling to buy a vile of insulin just to survive;mE;diabetic;"struggling;buy a vile of insulin";1.0;"['lol', 'like', 'damn', 'if', 'ur', 'not', 'gonna', 'vote', 'for', 'urself', 'vote', 'for', 'ur', 'neighbor', 'who', ""'s"", 'a', 'diabetic', 'and', 'is', 'struggling', 'to', 'buy', 'a', 'vile', 'of', 'insulin', 'just', 'to', 'survive']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-E', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O']
